7938,5902,0,C6ZEZ6,Q43594,5.193607e-05
7945,7935,1,A0A0A7DMM3,A0A0E0IVH0,0.99999964
7946,7935,1,Q01144,A0A0E0IVH0,0.9999995
7938,7926,1,C6ZEZ6,Q9SSX0,0.99998355
7938,7927,1,C6ZEZ6,B8AIX5,0.9999819
7944,7934,1,C4B8B8,A2XUG9,0.99997175
7938,2065,0,C6ZEZ6,Q9LDB7,0.9998777
7938,6249,1,C6ZEZ6,Q0JKV1,0.9998337
7936,7922,1,C4B8B7,B8A8R6,0.99982315
7938,7925,1,C6ZEZ6,Q0DKM6,0.9995678
7939,7928,1,G4MXR2,Q0JMY8,0.99900633
7941,7930,1,Q2KEJ2,Q7XBH4,0.9981786
7940,7469,0,G4MQL4,Q67G20,0.93661
7936,366,0,C4B8B7,Q70G58,0.47455758
7947,6352,0,A0A858LWB5,Q42456,0.45144644
7944,5342,0,C4B8B8,Q08479,0.27964464
7939,5038,0,G4MXR2,P45960,0.007398835
7943,1897,0,G4MVX4,Q5Z8T3,0.0054529943
7938,5905,0,C6ZEZ6,Q76FS2,0.002642369
7936,7918,0,C4B8B7,Q94DL4,0.0009862765
